Strategy,Parameters,Description,Total Profit,Avg Profit per Line,Win Rate,Profitable Lines %,Max Drawdown,Avg Consecutive Wins,Avg Consecutive Losses,Avg Win Streak,Avg Loss Streak,Avg Risk-Reward,Sharpe Ratio,Sortino Ratio,Total Lines
adaptive_bias,"window_size=20, weight_recent=2.0, min_samples=15, confidence_threshold=0.58, banker_bias=0.011",Optimized parameters,181.74999999999994,1.3980769230769226,52.726178043819694,53.07692307692308,-14.8,5.384615384615385,3.9,5.384615384615385,3.9,1.2016385438444261,0.10379185585039923,0.4245424586262529,130
adaptive_bias,"window_size=25, weight_recent=2.0, min_samples=15, confidence_threshold=0.65, banker_bias=0.011",Conservative parameters,148.49999999999997,1.142307692307692,52.05906787724318,53.84615384615385,-13.5,5.407692307692308,3.9846153846153847,5.407692307692308,3.9846153846153847,1.250164184870067,0.08447583004234704,0.36647946044469026,130
adaptive_bias,"window_size=15, weight_recent=2.0, min_samples=15, confidence_threshold=0.52, banker_bias=0.011",Aggressive parameters,243.35,1.8719230769230768,54.44247939850453,56.92307692307692,-16.599999999999998,5.438461538461539,3.8,5.438461538461539,3.8,1.0641882816882815,0.14008532986792702,0.5580714685688528,130
enhanced_adaptive_bias,"window_sizes=[5, 10, 20], base_weight_recent=2.5, min_samples=18, confidence_threshold=0.6, pattern_length=4, use_pattern_recognition=True, use_trend_analysis=True, banker_bias=0.011",Optimized parameters,163.09999999999997,1.2546153846153842,52.41317548351573,53.84615384615385,-12.7,5.3538461538461535,3.8461538461538463,5.3538461538461535,3.8461538461538463,1.2213973961032785,0.09263305756187383,0.40686888080792794,130
enhanced_adaptive_bias,"window_sizes=[8, 15, 25], base_weight_recent=2.5, min_samples=18, confidence_threshold=0.67, pattern_length=4, use_pattern_recognition=True, use_trend_analysis=True, banker_bias=0.011",Conservative parameters,157.94999999999996,1.2149999999999996,51.96099053712925,50.76923076923077,-10.200000000000001,5.3307692307692305,3.7153846153846155,5.3307692307692305,3.7153846153846155,1.214922346517369,0.09019475754513627,0.4482896308934894,130
enhanced_adaptive_bias,"window_sizes=[4, 8, 15], base_weight_recent=2.5, min_samples=18, confidence_threshold=0.54, pattern_length=4, use_pattern_recognition=True, use_trend_analysis=True, banker_bias=0.011",Aggressive parameters,173.04999999999998,1.3311538461538461,53.46681247897504,53.84615384615385,-16.600000000000005,5.446153846153846,3.8,5.446153846153846,3.8,1.102012012012012,0.1026345958820207,0.3532649403353769,130
dynamic_skip,"window_size=15, short_window=5, pattern_length=4, min_confidence=0.65, skip_threshold=0.55, recovery_threshold=2, banker_bias=0.011",Optimized parameters,-209.95,-1.615,48.945845499716725,40.76923076923077,-139.15,3.2153846153846155,4.507692307692308,3.2153846153846155,4.507692307692308,1.5702693413323334,-0.1261126725908734,-0.1028469790102177,130
dynamic_skip,"window_size=15, short_window=5, pattern_length=4, min_confidence=0.7, skip_threshold=0.6, recovery_threshold=2, banker_bias=0.011",Conservative parameters,-209.95,-1.615,48.945845499716725,40.76923076923077,-139.15,3.2153846153846155,4.507692307692308,3.2153846153846155,4.507692307692308,1.5702693413323334,-0.1261126725908734,-0.1028469790102177,130
dynamic_skip,"window_size=15, short_window=5, pattern_length=4, min_confidence=0.6, skip_threshold=0.5, recovery_threshold=2, banker_bias=0.011",Aggressive parameters,-209.95,-1.615,48.945845499716725,40.76923076923077,-139.15,3.2153846153846155,4.507692307692308,3.2153846153846155,4.507692307692308,1.5702693413323334,-0.1261126725908734,-0.1028469790102177,130
selective_betting,"min_confidence=0.7, ultra_confidence=0.85, pattern_length=4, window_sizes=[5, 10, 20], losing_streak_threshold=2, banker_bias=0.011",Optimized parameters,0.8499999999999999,0.16999999999999998,60.0,60.0,-1.0,0.6,0.4,0.6,0.4,0.0,0.15916723893312515,0.0,5
