line_index,timestamp,initial_mode,outcomes,bets_placed,wins,losses,ties,profit,duration,end_reason
0,20250224_081751,PPP,BBPBPBBBPPTPBBBPPPPBTBBPPPTPBBBBBTTPBBBBPPBTPBTBBBBB,34,15,14,5,180.0,,"decent profit with many bad streaks (150+, 3 streaks)"
1,20250224_082609,PPP,PBBBBBBPTPPPPPBPPPTPPBPPBBBBB,15,8,5,2,197.5,,"contradicting bias (PPP mode, 84.6% player wins)"
2,20250224_084003,PPP,PBPBBBPPBPPTBPPTBBBPBPPBBBPPBBTBPPBBBPBBB,35,15,17,3,8.5,,all outcomes processed
3,20250224_090928,BBB,PPPBPBBTBPTBPPPBPBTBTBPBBPBTPBPBPBPPBPBBTPPBPBBPBPBPTPPBBTBPPTBPTBPBPPPP,19,9,6,4,184.0,,"contradicting bias (BBB mode, 60.0% banker wins)"
4,20250224_092118,PPP,BBPTBBBPBPPPBBBPBBBBPBPBPBBBPPBBBBTBB,28,17,11,0,376.0,,error: 'float' object is not subscriptable
5,20250224_094318,PPP,PBBBBPBTPBPPPBBBBBPBBPTPBBBPPTTBPTPBPTPPPPPBPBPPBPPBBP,42,19,17,6,329.5,,few cubes with bad streaks (2+ streaks)
6,20250224_101019,PPP,PBPBBBBBBPPPPBBBBBBPPBPBTPPBPTPPBBTPBBPPPBPBPBPBPBPPPPPBPBBPPP,56,22,31,3,-932.0,,all outcomes processed
7,20250224_103431,BBB,PPBPBPPBPPBPPTBBBBPPBPBPPPBPBPTPPBBTPPPTBPBBBBP,41,15,22,4,-455.0,,all outcomes processed
8,20250224_105717,PPP,BBBBPBBBBPPPPBPPBTBBPTPPBTPBPPTBBBBBPB,32,11,17,4,-533.0,,all outcomes processed
9,20250224_110619,BBB,PPPPPBBPPBTPPBPPPPPPPPBPP,18,13,4,1,424.0,,"only 1 cube value left, lower than 20"
10,20250224_112406,BBB,BPBPTPPTBTTBBBPPPBBBPBPPBPTBPPPPTPBPBBBBPB,36,14,17,5,-181.5,,error: 'float' object is not subscriptable
11,20250224_114145,BBB,PPPBBPBPBPPPPBPPPTPTBBBPPPBBPPPBBPBPBBBBBBBBPB,30,17,11,2,404.5,,"only 1 cube value left, lower than 20"
12,20250224_121625,PPP,BBBPPBBPPPBBBPBBTBPPBBBBPTPBPBBPPBPPTPBPBPPPBPPBBPPTPBBBBBPBPBPPPBPB,37,18,16,3,288.5,,few cubes with bad streaks (2+ streaks)
13,20250224_142929,BBB,PPBPPPPBBPPPBBPBPPBTBPPPPBPPBBBBTPBBBBBBBTBPTPPPPBBBPPBBPPPB,32,17,13,2,343.0,,few cubes with bad streaks (2+ streaks)
14,20250224_143330,BBB,BPPPPBPBPPPPP,7,4,3,0,67.5,,all outcomes processed
15,20250224_145301,BBB,BPPPPPPPTBBBBPTTTBBPBPBPBPBPTPPTBPTPBBBPPBBPPBBBBTB,45,17,20,8,-45.5,,all outcomes processed
16,20250224_153139,BBB,PTPPPBPBPBPPBPBTBBPPPBPBPTBTPPBBBPTPPPPBBPBTPBPBPPPBPBPBBPBBBBBPBPPTBBP,44,20,19,5,334.5,,few cubes with bad streaks (2+ streaks)
17,20250224_155441,BBB,BBPPPPBPBTPPPTTBPPBBPPBTPPBBTBPBPTPBPBPPBPBBBBPBBBPBP,44,19,19,6,190.5,,"decent profit with many bad streaks (150+, 3 streaks)"
18,20250224_161341,PPP,BTBPBBBPTPBPBPBBBBPPBPBBBBBPBTBPPPPBBPPP,34,17,15,2,198.5,,error: 'float' object is not subscriptable
19,20250224_162917,BBB,BPPPBPPBBBPPBPBPBPBPBBBBPBBBPPPBBBBBBPBP,18,10,8,0,152.0,,"contradicting bias (BBB mode, 61.1% banker wins)"
20,20250224_165140,BBB,PPPBPBPPBBBPBPTBBPPPTBPBBPPBPBBTBPPPTBPBBPBPPBPPPBPPP,47,16,27,4,-918.5,,all outcomes processed
21,20250224_171009,PPP,PBBBBPPPPPBBBBBBBPTBPTTTPBBPBPBBBBTPBPPBBPPBPTB,41,16,19,6,-127.5,,all outcomes processed
22,20250224_174439,PPP,PBPBBBPBPBBPTBBBPTBBPBPTBPPPBBPPPBBBTPPBBPPPBPBPBPBBPPBPPBBBPPBPPBBP,57,19,34,4,-4352.5,,max drawdown reached (-4000)
