strategy,parameter_set,win_rate,bet_frequency,profit,max_profit,min_profit,total_bets
markov_chain,optimized,0.7096774193548387,0.6458333333333334,328.0,328.0,-20.5,62
markov_chain,conservative,0.7090909090909091,0.5729166666666666,279.0,279.0,-40.0,55
markov_chain,aggressive,0.676923076923077,0.6770833333333334,298.0,298.0,-30.5,65
thompson_sampling,optimized,0.8461538461538461,0.13541666666666666,86.5,86.5,-10.0,13
thompson_sampling,conservative,0.8181818181818182,0.11458333333333333,67.5,67.5,-10.0,11
thompson_sampling,aggressive,0.6428571428571429,0.2916666666666667,115.5,115.5,-10.5,28
pattern_interruption,optimized,0.4117647058823529,0.53125,-35.5,28.5,-45.5,51
pattern_interruption,conservative,0.4523809523809524,0.4375,-4.5,25.5,-31.0,42
pattern_interruption,aggressive,0.42424242424242425,0.6875,-27.0,28.5,-45.0,66
frequency_analysis,optimized,0.7297297297297297,0.3854166666666667,212.5,212.5,0.0,37
frequency_analysis,conservative,0.7647058823529411,0.3541666666666667,212.5,212.5,0.0,34
frequency_analysis,aggressive,0.7368421052631579,0.3958333333333333,222.5,222.5,0.0,38
sequential_pattern_mining,optimized,0.6938775510204082,0.5104166666666666,242.5,242.5,-10.0,49
sequential_pattern_mining,conservative,0.6451612903225806,0.3229166666666667,125.0,125.0,0.0,31
sequential_pattern_mining,aggressive,0.6984126984126984,0.65625,318.5,318.5,-20.0,63
volatility_adaptive,optimized,0.625,0.25,96.5,97.0,0.0,24
volatility_adaptive,conservative,0.7333333333333333,0.15625,97.5,97.5,0.0,15
volatility_adaptive,aggressive,0.65625,0.3333333333333333,135.5,135.5,-10.0,32
bayesian_inference,optimized,0.7222222222222222,0.375,193.5,193.5,-1.0,36
bayesian_inference,conservative,0.6470588235294118,0.17708333333333334,56.5,56.5,-10.5,17
bayesian_inference,aggressive,0.7391304347826086,0.4791666666666667,260.0,260.0,-1.0,46
momentum_oscillator,optimized,0.42105263157894735,0.19791666666666666,-1.5,9.5,-20.5,19
momentum_oscillator,conservative,0.42105263157894735,0.19791666666666666,-1.5,9.5,-20.5,19
momentum_oscillator,aggressive,0.43478260869565216,0.23958333333333334,-2.0,9.5,-31.0,23
meta_strategy,optimized,0.9,0.10416666666666667,77.5,77.5,0.0,10
meta_strategy,conservative,0.8571428571428571,0.07291666666666667,49.0,49.0,-10.0,7
meta_strategy,aggressive,0.8181818181818182,0.11458333333333333,67.5,67.5,-10.0,11
