side,size,result,pnl
P,50,L,-50
P,50,W,50
P,50,T,0.0
P,50,W,50
P,50,L,-50
P,60,L,-60
P,70,W,70
P,60,T,0.0
P,60,W,60
P,50,W,50
P,50,T,0.0
P,50,L,-50
P,60,L,-60
P,70,W,70
P,60,L,-60
P,70,L,-70
P,80,W,80
P,70,L,-70
P,80,L,-80
P,90,L,-90
B,100,W,95.0
P,90,W,90
B,80,W,76.0
P,70,L,-70
B,80,L,-80
P,90,L,-90
P,100,W,100
P,100,L,-100
P,120,L,-120
P,140,L,-140
B,160,L,-160
P,180,L,-180
B,200,W,190.0
P,180,W,180
P,160,W,160
P,140,L,-140
P,160,L,-160
P,180,L,-180
B,200,W,190.0
P,180,L,-180
B,200,W,190.0
P,180,L,-180
B,200,,0
